               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.013409,           0.0026231,           0.0035425,             0.98917,                   1,               0.995,              0.8981,            0.010472,           0.0021163,           0.0023537,           0.0090892,           0.0090892,           0.0090892
                  48,            0.015035,           0.0026467,           0.0040585,             0.99286,             0.99696,             0.99488,             0.89249,            0.015692,           0.0022171,           0.0026312,           0.0090694,           0.0090694,           0.0090694
                  49,            0.013289,           0.0025858,           0.0050333,             0.98617,             0.98281,             0.99314,             0.93333,           0.0097249,           0.0018534,           0.0040789,           0.0090496,           0.0090496,           0.0090496
                  50,            0.012242,           0.0024357,           0.0047865,             0.99741,              0.9977,             0.99487,             0.93807,             0.01069,           0.0018961,            0.002511,           0.0090298,           0.0090298,           0.0090298
                  51,            0.014202,           0.0025394,           0.0033895,              0.9692,             0.99809,             0.98912,             0.91194,            0.013838,            0.002036,           0.0023169,             0.00901,             0.00901,             0.00901
                  52,            0.014669,           0.0025533,           0.0036064,             0.99834,                   1,               0.995,             0.90942,            0.011418,           0.0021157,           0.0023192,           0.0089902,           0.0089902,           0.0089902
                  53,            0.014006,           0.0024559,           0.0034149,             0.99808,              0.9984,               0.995,             0.90506,            0.014127,           0.0019865,           0.0023372,           0.0089704,           0.0089704,           0.0089704
                  54,            0.014161,           0.0026504,           0.0029721,             0.99793,                   1,               0.995,             0.91339,            0.010119,           0.0020174,           0.0020859,           0.0089506,           0.0089506,           0.0089506
                  55,             0.01535,           0.0025606,           0.0031749,             0.99764,                   1,               0.995,             0.93111,            0.009116,           0.0019632,           0.0020979,           0.0089308,           0.0089308,           0.0089308
                  56,            0.013883,           0.0024525,           0.0026562,             0.99782,                   1,               0.995,             0.93777,            0.009902,           0.0019152,           0.0021696,            0.008911,            0.008911,            0.008911
                  57,            0.014037,            0.002476,           0.0041929,             0.99369,             0.99875,             0.99378,             0.89195,            0.013828,           0.0021553,            0.002337,           0.0088912,           0.0088912,           0.0088912
                  58,            0.015052,           0.0025603,           0.0052304,             0.99812,                   1,               0.995,             0.89099,            0.009815,           0.0020813,           0.0022776,           0.0088714,           0.0088714,           0.0088714
                  59,            0.015617,           0.0025902,           0.0034116,             0.95848,             0.99985,               0.995,             0.92078,            0.011187,           0.0020849,           0.0022389,           0.0088516,           0.0088516,           0.0088516
                  60,            0.011613,           0.0024625,           0.0026672,             0.99673,             0.99678,               0.995,             0.94818,            0.010158,           0.0019645,           0.0022716,           0.0088318,           0.0088318,           0.0088318
                  61,            0.012559,           0.0023878,           0.0026464,             0.99801,                   1,               0.995,             0.95238,           0.0094685,           0.0018165,           0.0022498,            0.008812,            0.008812,            0.008812
                  62,            0.013936,           0.0023453,           0.0029173,             0.99733,                   1,               0.995,              0.8883,            0.011707,           0.0019719,           0.0024417,           0.0087922,           0.0087922,           0.0087922
                  63,            0.013118,           0.0024079,           0.0034607,             0.99826,                   1,               0.995,             0.93396,             0.01032,           0.0019951,           0.0022204,           0.0087724,           0.0087724,           0.0087724
                  64,             0.01243,           0.0023206,           0.0026983,             0.99755,                   1,               0.995,             0.92609,            0.010848,           0.0019813,           0.0020704,           0.0087526,           0.0087526,           0.0087526
                  65,             0.01342,           0.0024091,           0.0031537,             0.99747,                   1,               0.995,             0.93561,            0.009608,           0.0018504,           0.0019231,           0.0087328,           0.0087328,           0.0087328
